nu,sw,sw_err,sw_HITRAN,gamma0_O2,gamma0_O2_err,gamma_self_HITRAN,n_gamma0_O2,n_gamma0_O2_err,n_air_HITRAN,SD_gamma_O2,SD_gamma_O2_err,delta0_O2,delta0_O2_err,delta_air_HITRAN,SD_delta_O2,SD_delta_O2_err,gamma_air_HITRAN,gamma0_N2,gamma0_N2_HITRAN,gamma0_N2_err,gamma0_N2_R2,gamma0_N2_npts,elower_HITRAN,n_spectra_O2,QF_O2,residual_std_O2
9277.75534,3.757875380447527e-29,3.740889585828688e-31,4.1800000000000003e-29,0.0502532785247363,5.266912049897444e-07,0.045,0.83,0,0.83,0.1686706411489021,0.0330151164100407,-0.0195845347300762,0.0,0.0,0.2404321839368118,0.0,0.0459,0.0226751698978017,0.046139240506329116,0.0007165763891885,0.9804927807422634,3.0,343.9694,3,28.0,0.0004397788382203
9291.086497,4.5517219985258237e-29,7.243013708961596e-31,5.172999999999999e-29,0.0471900041650272,0.0016647604790909,0.047,0.84,0,0.84,0.0941727830954171,0.0,0.0312677770599855,0.0,0.0,0.2472727892594108,0.0,0.0478,0.0514494274451163,0.04801265822784811,0.0048438163839915,0.7263934415294653,3.0,260.6824,3,30.333333333333332,0.0001749629523223
9298.70717,3.8713281968800353e-29,6.527539251013797e-31,4.4589999999999995e-29,0.0442863006356912,0.0023142851059576,0.041,0.81,0,0.81,0.201719331022155,0.0640711881772416,0.0194176829509866,0.0,0.0,0.2449510547857041,0.0,0.0404,0.0267779481331085,0.04024050632911392,0.002402350876457,0.8969230847549606,3.0,546.7042,3,37.0,0.0001633115424492
9300.549157,4.7773426021011886e-29,4.1077175273710935e-31,5.195e-29,0.043391836187209,0.0009896921825476,0.041,0.81,0,0.81,0.1333374264965874,0.0390378350242614,-0.0132349665015058,0.0,0.0,0.2479193273775896,0.0,0.0404,0.053722764732945,0.04024050632911392,0.0054545672713404,0.9544890663024532,3.0,544.8622,3,56.333333333333336,0.0001432858698211
9304.133179,5.195991435991874e-29,5.829237413873804e-31,5.786e-29,0.0531065714821817,0.00163484811228,0.048,0.84,0,0.84,0.1937170998816642,0.0475449123847913,-2.953061063035413e-06,0.0,0.0,1.979891298966314e-06,0.0,0.0496,0.02107135603082,0.050025316455696196,0.0031080691756124,0.904446313906475,3.0,188.8531,3,43.0,0.0001746703669555
9307.018954,5.74176471381109e-29,5.056788669124651e-31,6.554e-29,0.0463976954746399,0.0011176281269296,0.043,0.83,0,0.83,0.1724781016534113,0.0380165743726588,0.0154878778008653,0.0,0.0,0.2449535578092788,0.0,0.0427,0.0296539277430679,0.04262025316455697,0.0064085704135342,0.7982952000059906,3.0,440.5618,3,56.0,0.0001658442989216
9308.879701,7.299856410414164e-29,4.766123748284531e-31,7.767e-29,0.0456486611048345,0.00071874381467,0.043,0.83,0,0.83,0.0794267337274646,0.033145754678837,0.0061050528033597,0.0,0.0,0.2498885019193553,0.0,0.0427,0.0445858850181546,0.04262025316455697,0.0011865191856316,0.9876600185690928,3.0,438.701,3,69.66666666666667,0.0001565336131012
9315.039339,7.900875488668901e-29,3.9708039637056664e-31,8.934e-29,0.0460990389619573,0.0003790941266073,0.044,0.83,0,0.83,0.0539374975380232,0.0,0.0120715248509832,0.0,0.0,0.2399367490867186,0.0,0.0449,0.0431803079107926,0.045139240506329115,0.0045671431227089,0.0873606749449558,3.0,345.8495,3,75.66666666666667,0.0001577707201569
9322.768234,9.724786028013636e-29,4.928382462232541e-31,1.122e-28,0.0476263335907162,0.0006492588954285,0.046,0.85,0,0.85,0.0681660787488193,0.0237357938410885,0.009165434149418,0.0,0.0,0.2345179091794578,0.0,0.0469,0.0525191280379578,0.0471392405063291,0.0026814512924757,0.9469449694674642,3.0,262.5827,3,98.33333333333331,0.0001290234332939
9324.668488,1.2877364203939156e-28,6.505202973677391e-31,1.398e-28,0.0479810623120671,0.0006853786090464,0.046,0.85,0,0.85,0.1185424027989854,0.0231348752837979,-0.0134534784388383,0.0,0.0,0.2402715526254886,0.0,0.0469,0.0467393844187253,0.0471392405063291,0.0007870571126147,0.9930894776164166,3.0,260.6824,3,105.0,0.0001623693534543
9330.205438,1.1105810414261734e-28,6.841146174870781e-31,1.282e-28,0.0498232311905044,0.0009617088056997,0.047,0.84,0,0.84,0.1074927161437886,0.0269137831829335,0.0033171178898021,0.0,0.0,0.2083427955092378,0.0,0.0487,0.0479873339568555,0.04915189873417722,0.0006417298338947,0.9914690541232808,3.0,190.7748,3,89.0,0.0001383538989039
9332.127184,1.5072566873761709e-28,4.698461664531987e-31,1.662e-28,0.048185856121954,0.0003477838040341,0.047,0.84,0,0.84,0.0604350885747436,0.0185450441436,-0.003342996893232,0.0,0.0,0.0166086481884348,0.0,0.0487,0.0491546011127866,0.04915189873417722,0.0007769193403381,0.997527077242838,3.0,188.8531,3,137.33333333333334,0.0001504980939563
9337.350641,1.1748942591666216e-28,1.0141024091092005e-30,1.308e-28,0.052661921791756,0.0013051056093029,0.049,0.84,0,0.84,0.0814336456837307,0.0356110978312281,-0.0471153974497745,0.0,0.0,0.0946522745166246,0.0,0.0504,0.0520635199519841,0.05077215189873417,0.0023925694540642,0.9726343930299954,3.0,130.4375,3,70.66666666666667,0.0001744887297009
9339.296116,1.603077644007342e-28,6.489919504451232e-31,1.796e-28,0.0494696398808413,0.0005741734574607,0.049,0.84,0,0.84,0.1234228372549568,0.019426578906924,0.0118625719196923,0.0,0.0,0.2221758109622949,0.0,0.0504,0.0547765530982347,0.05077215189873417,0.0025882728433134,0.9540588379895149,3.0,128.492,3,122.66666666666669,0.000169042334495
9344.203425,1.026793580371547e-28,9.292044527275304e-31,1.144e-28,0.0521565249440217,0.0009487002117136,0.052,0.84,0,0.84,0.0100000000249462,0.0,0.0499995707467281,0.0,0.0,0.1342881321425048,0.0,0.0523,0.0539205584789614,0.05237974683544304,0.0045837274459888,0.9308734930235312,3.0,81.5805,3,53.0,0.0002081561440176
9346.176931,1.578219809846027e-28,8.112503860504066e-31,1.7190000000000002e-28,0.0511199334470634,0.0007673690791543,0.052,0.84,0,0.84,0.0566035053580624,0.0229940008903884,-0.0157554158893736,0.0,0.0,0.2206117963650571,0.0,0.0523,0.0545556358685257,0.05237974683544304,0.0023205112809969,0.983977611221262,3.0,79.607,3,105.33333333333331,0.0001613591826089
9348.744684,6.676130278626409e-29,3.887237284906342e-31,6.73e-29,0.0430282426045189,0.0004252535990552,0.039,0.8,0,0.8,0.0555842143945048,0.0,0.0053004753856295,0.0,0.0,0.2369869957216608,0.0,0.0368,0.0371144980926765,0.03621518987341772,0.0053046665562264,0.7769773306104171,3.0,664.2595,3,68.33333333333333,0.0001590698399568
9351.794199,1.0640663471276576e-28,1.2679315444266843e-30,1.08e-28,0.0466875222713381,0.0018522476655237,0.041,0.81,0,0.81,0.0774184211345729,0.0,0.0474257538504081,0.0,0.0,0.248165248099757,0.0,0.0392,0.0449256730000314,0.03872151898734177,0.0030406239133959,0.7389251071771331,3.0,546.7042,3,50.666666666666664,0.0001667212975924
9352.774857,1.165369400458753e-28,2.057504139738513e-30,1.3680000000000001e-28,0.049432200104499,0.0017751110581027,0.054,0.84,0,0.84,0.010000000006412,0.0,-0.0003630300645746,0.0,0.0,1.022263066472441e-09,0.0,0.0543,0.0655912917206595,0.054379746835443034,0.0071419903018908,0.910591021558773,3.0,42.2001,3,37.333333333333336,0.0003661440270231
9354.54295,1.4531025048174155e-28,8.221139570994404e-31,1.622e-28,0.0407627831094559,0.0005023423833834,0.042,0.81,0,0.81,0.03619943875997,0.0,0.0098728930181162,0.0,0.0,0.2049403849726228,0.0,0.0416,0.0455698410953397,0.041493670886075945,0.0027904208090604,0.9468552531458444,3.0,440.5618,3,101.33333333333331,0.0001796581037744
9363.80654,3.539963842352024e-28,1.4882810794990792e-30,3.868e-28,0.0504290930048101,0.0006924937162577,0.05,0.84,0,0.84,0.0409620171586835,0.0,0.0129585386237689,0.0,0.0,0.233022302826322,0.0,0.0513,,0.05164556962025316,,,,81.5805,3,167.66666666666666,0.0001438221606989
9365.433313,1.936606171301185e-28,1.509054270537296e-30,2.122e-28,0.0595941357898873,0.0018069509377552,0.056,0.84,0,0.84,0.0908644144372523,0.0350228721084204,-0.008049284117073,0.0,0.0,0.1346488761587732,0.0,0.0555,,0.055367088607594935,,,,18.3372,3,87.33333333333333,0.0001651436076697
9371.405616,2.1960218048112627e-28,8.316175270388345e-31,2.342e-28,0.057400733435601,0.0003922977934725,0.058,0.84,0,0.84,0.0100000000000008,0.0,-0.001901004461503,0.0,0.0,2.836421459024735e-12,0.0,0.0568,0.0587520708590089,0.05648101265822785,0.0009162287297052,0.9973655670873716,3.0,3.9611,3,118.66666666666669,0.0001792201661848
9373.282407,5.575654177247914e-29,5.656598370026156e-31,6.037e-29,0.0568303773564517,0.0010160231755561,0.058,0.84,0,0.84,0.1001583106669856,0.0,-0.0184011258899451,0.0,0.0,0.2489857527148379,0.0,0.0568,0.0485981091030944,0.05648101265822785,0.005865570229573,0.4860919065249358,3.0,2.0843,3,43.666666666666664,0.0001485446153051
9376.637796,2.5655820077014793e-28,4.887452630477428e-31,2.731e-28,0.0564777035502289,9.95902383785208e-08,0.054,0.84,0,0.84,0.0676366332988544,0.0077059853932992,-0.0010491892613977,0.0,0.0,0.0013394212025132,0.0,0.0543,0.0466342263286856,0.054379746835443034,0.0031147164937747,0.9418272074216592,3.0,18.3372,3,172.66666666666666,0.0001673985697136
9378.587364,1.3589565279905926e-28,6.6875281261807785e-31,1.4230000000000001e-28,0.0577303247294212,0.0007739392348824,0.054,0.84,0,0.84,0.1241764035212529,0.023033055771187,-0.0023270725532698,0.0,0.0,2.56077322752098e-12,0.0,0.0543,0.0512893063497431,0.054379746835443034,0.0013067772313622,0.9934426555785516,3.0,16.3876,3,104.33333333333331,0.0001481438373784
9383.559954,1.892396394841953e-28,5.48799776445649e-31,1.947e-28,0.0528307410591362,0.0003960517423383,0.052,0.84,0,0.84,0.0419251240650964,0.0138061812936995,0.0143992648090571,0.0,0.0,0.2326745118365808,0.0,0.0523,0.0534388357059603,0.05237974683544304,0.0011413997571289,0.9945715078349594,3.0,42.224,3,149.66666666666666,0.000147934782971
9386.207642,2.952012090795933e-28,7.555257553455285e-31,3.016e-28,0.0509926131717043,0.0002201959557458,0.049,0.84,0,0.84,0.0362430641475621,0.0,0.0010333707586984,0.0,0.0,3.0757152941328246e-08,0.0,0.0504,0.0465081052674836,0.05077215189873417,0.0031694351017889,0.9613266565095748,3.0,81.5805,3,170.66666666666666,0.0002102294407575
9388.22353,2.100366189076724e-28,5.7596191778624365e-31,2.185e-28,0.049360793766972,0.0002331760794432,0.049,0.84,0,0.84,0.0277845028344761,0.0,-0.0090434002898952,0.0,0.0,0.0904233192661793,0.0,0.0504,0.0335163589771095,0.05077215189873417,0.0066872762950466,0.226547303682987,3.0,79.5646,3,158.0,0.0001623275497169
9390.542753,2.6756976677814784e-28,6.170512614981919e-31,2.792e-28,0.0484652514889489,0.0002920764377181,0.047,0.84,0,0.84,0.0649710607472741,0.0108859407367776,-0.0032291766898277,0.0,0.0,0.0189561533841394,0.0,0.0487,0.052433681720131,0.04915189873417722,0.0015276013138433,0.99002886448684,3.0,130.4375,3,204.33333333333337,0.000166874515759
9394.576104,2.3449471377805353e-28,5.647522680236326e-31,2.393e-28,0.0467072796123713,0.0002788989130531,0.046,0.85,0,0.85,0.0410814875181569,0.0111426319000553,-0.0099185526643435,0.0,0.0,0.1973593149797196,0.0,0.0469,0.0458669238071918,0.0471392405063291,0.0032763356383413,0.9435246522862464,3.0,190.7748,3,199.0,0.0001499455034394
9396.637536,1.863287471567483e-28,5.7218437927977845e-31,1.9360000000000002e-28,0.0460658895030429,0.0003817490250145,0.046,0.85,0,0.85,0.0587812477040213,0.014190942927531,0.0053923792060587,0.0,0.0,0.2251536811359643,0.0,0.0469,0.0604642831520861,0.0471392405063291,0.0054803378634541,0.9518341782441924,3.0,188.7134,3,158.66666666666666,0.0001536776930164
9398.306147,1.883496304020927e-28,5.822206457519158e-31,1.909e-28,0.0466235532342286,0.0003983091315474,0.044,0.83,0,0.83,0.0733862260170276,0.0153169563903967,-0.0049754762181944,0.0,0.0,0.0411405078024058,0.0,0.0449,0.0364169460743324,0.045139240506329115,0.0010178032023069,0.9934604843987908,3.0,262.5827,3,172.33333333333334,0.0001433529131141
9400.387962,1.5644495131984803e-28,5.412839165806177e-31,1.594e-28,0.0462411898368527,0.0004484378326279,0.044,0.83,0,0.83,0.0997835224516357,0.0154912489340778,-0.0033347955198652,0.0,0.0,0.0204191625989773,0.0,0.0449,0.0370538326495937,0.045139240506329115,0.0041371356916636,0.7489091674136135,3.0,260.5009,3,155.33333333333334,0.0001347170023614
9401.731225,1.42149207589894e-28,4.251935444645274e-31,1.421e-28,0.0434937646494922,0.0002426912531291,0.043,0.83,0,0.83,0.0273917613237767,0.0,-0.0301384106099088,0.0,0.0,0.0988504197597414,0.0,0.0427,0.0458114506521189,0.04262025316455697,0.0047178502219524,0.810261539371499,3.0,345.8495,3,148.66666666666666,0.0001318248129176
9403.163069,1.596855714474559e-28,5.4928042330062894e-31,1.621e-28,0.0516658923901079,0.0004006750802731,0.05,0.84,0,0.84,0.0953705856769353,0.0195727950147898,-0.0128038211246442,0.0,0.0,0.2499427296334781,0.0,0.0513,0.0484313946055933,0.05164556962025316,0.0012190228061234,0.991411385733244,3.0,42.224,9,65.66666666666667,0.0003757225925482
9403.832612,1.186366745443067e-28,4.266705320926369e-31,1.2150000000000001e-28,0.0441151841953163,0.0002366238923395,0.043,0.83,0,0.83,0.0439475979558081,0.0,-0.0155986020677819,0.0,0.0,1.9692525271003662e-24,0.0,0.0427,0.0877698911718581,0.04262025316455697,0.0101499487949364,0.2561618901061846,3.0,343.7481,9,65.66666666666667,0.0003757225925482
9404.849569,1.0113206686162035e-28,4.059437150033762e-31,9.903e-29,0.0427692845645154,0.0002623651103782,0.041,0.81,0,0.81,0.0237856802915388,0.0,-0.016322576542597,0.0,0.0,2.061739893581047e-20,0.0,0.0404,0.0397437605372478,0.04024050632911392,0.0014671017511341,0.9613181502032994,3.0,440.5618,9,65.66666666666667,0.0003757225925482
9406.969987,8.763680127851664e-29,5.394908835995865e-31,8.625e-29,0.0446998842468477,0.0007057553966366,0.041,0.81,0,0.81,0.1322712680617727,0.0315166788870032,0.0162132736344129,0.0,0.0,0.1815091656565083,0.0,0.0404,0.0812650809918365,0.04024050632911392,0.0080665837721973,-0.7972812745134374,3.0,438.4413,6,47.333333333333336,0.0003577530582846
9407.659302,6.80568301465574e-29,6.353967643891132e-31,6.471e-29,0.0458470986674965,0.0012475687514404,0.04,0.8,0,0.8,0.2418093348007038,0.0369011607976856,0.0160274093870112,0.0,0.0,0.1369547816912022,0.0,0.038,0.0690792832124542,0.03746835443037975,0.0095500041845256,-0.2564707304667111,3.0,546.7042,6,47.333333333333336,0.0003577530582846
9413.421636,1.583664518471074e-28,1.0166117777011855e-30,1.62e-28,0.0482334985369969,0.0009851161593851,0.048,0.84,0,0.84,0.0760814953849617,0.0275807955802431,-0.0048064131869083,0.0,0.0,0.051152141079042,0.0,0.0496,0.0530613960176094,0.050025316455696196,0.003412515488786,0.9256310609944178,3.0,79.5646,3,76.66666666666667,0.0002306054764258
9423.371191,1.488678501184539e-28,4.705681247488456e-31,1.491e-28,0.047017361018177,0.0003363683806391,0.047,0.84,0,0.84,0.0589194903435793,0.0160638873393353,-0.0153857312797698,0.0,0.0,0.1498591596124448,0.0,0.0478,0.0616140026553799,0.04801265822784811,0.0027011112616391,0.9649311445927587,3.0,128.3977,3,132.66666666666666,0.0001501292052354
9433.01137,1.344184457815263e-28,4.119311856684102e-31,1.272e-28,0.0481667261802783,0.0003493176618823,0.045,0.83,0,0.83,0.0718553311795218,0.0165950165756423,-0.0064410045454449,0.0,0.0,0.1740257808707322,0.0,0.0459,0.0509275928968284,0.046139240506329116,0.0021100887893128,0.9621307823557446,3.0,188.7134,3,139.66666666666666,0.0001371675385673
9442.340565,1.0575523041473151e-28,3.944457829008234e-31,1.011e-28,0.0446064605598066,0.0002630350664084,0.043,0.83,0,0.83,0.014488094393654,0.0,-0.0042296322494189,0.0,0.0,0.0279762112766138,0.0,0.0438,0.0376338132566345,0.044012658227848105,0.0054911171190005,0.4476594741460742,3.0,260.5009,3,97.33333333333331,0.000158407542178
9451.356608,8.28955482479523e-29,3.421847217632922e-31,7.5e-29,0.0443683723484499,0.0002970219787401,0.042,0.81,0,0.81,0.0100000000009539,0.0,0.0099558808655785,0.0,0.0,0.249608318493772,0.0,0.0416,0.0523910590743632,0.041493670886075945,0.0052497820291905,0.9301041897341829,3.0,343.7481,4,80.25,0.0001508852969127
9460.057016,5.737411671429066e-29,2.861363241551972e-31,5.212e-29,0.0425977112253308,0.0003527101199566,0.041,0.81,0,0.81,0.0289975783782886,0.0,-0.0063052604044259,0.0,0.0,0.2499439587247846,0.0,0.0392,0.0421719247940624,0.03872151898734177,0.0199280838843914,0.5700180143708402,3.0,438.4413,3,74.0,0.0001252951217688
